DSC,simulate,simulate.sfix,simulate.se:output,simulate.rho,simulate.pve,simulate.output.file,simulate.dims,fit,fit.output.file,fit.DSC_TIME:output,mse.err:output,coef_mse.err:output
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",susie,susie/equicorrgauss_1_susie_1,susie/equicorrgauss_1_susie_1,mse/equicorrgauss_1_susie_1_predict_linear_1_mse_1,NA
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",susie,susie/equicorrgauss_2_susie_1,susie/equicorrgauss_2_susie_1,mse/equicorrgauss_2_susie_1_predict_linear_1_mse_1,NA
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",susie,susie/equicorrgauss_3_susie_1,susie/equicorrgauss_3_susie_1,mse/equicorrgauss_3_susie_1_predict_linear_1_mse_1,NA
1,equicorrgauss,10,equicorrgauss/equicorrgauss_4,0.6,0.8,equicorrgauss/equicorrgauss_4,"(50,200)",susie,susie/equicorrgauss_4_susie_1,susie/equicorrgauss_4_susie_1,mse/equicorrgauss_4_susie_1_predict_linear_1_mse_1,NA
2,equicorrgauss,1,equicorrgauss/equicorrgauss_5,0.6,0.8,equicorrgauss/equicorrgauss_5,"(50,200)",susie,susie/equicorrgauss_5_susie_1,susie/equicorrgauss_5_susie_1,mse/equicorrgauss_5_susie_1_predict_linear_1_mse_1,NA
2,equicorrgauss,2,equicorrgauss/equicorrgauss_6,0.6,0.8,equicorrgauss/equicorrgauss_6,"(50,200)",susie,susie/equicorrgauss_6_susie_1,susie/equicorrgauss_6_susie_1,mse/equicorrgauss_6_susie_1_predict_linear_1_mse_1,NA
2,equicorrgauss,5,equicorrgauss/equicorrgauss_7,0.6,0.8,equicorrgauss/equicorrgauss_7,"(50,200)",susie,susie/equicorrgauss_7_susie_1,susie/equicorrgauss_7_susie_1,mse/equicorrgauss_7_susie_1_predict_linear_1_mse_1,NA
2,equicorrgauss,10,equicorrgauss/equicorrgauss_8,0.6,0.8,equicorrgauss/equicorrgauss_8,"(50,200)",susie,susie/equicorrgauss_8_susie_1,susie/equicorrgauss_8_susie_1,mse/equicorrgauss_8_susie_1_predict_linear_1_mse_1,NA
1,equicorrgauss,1,equicorrgauss/equicorrgauss_1,0.6,0.8,equicorrgauss/equicorrgauss_1,"(50,200)",susie,susie/equicorrgauss_1_susie_1,susie/equicorrgauss_1_susie_1,NA,coef_mse/equicorrgauss_1_susie_1_coef_mse_1
1,equicorrgauss,2,equicorrgauss/equicorrgauss_2,0.6,0.8,equicorrgauss/equicorrgauss_2,"(50,200)",susie,susie/equicorrgauss_2_susie_1,susie/equicorrgauss_2_susie_1,NA,coef_mse/equicorrgauss_2_susie_1_coef_mse_1
1,equicorrgauss,5,equicorrgauss/equicorrgauss_3,0.6,0.8,equicorrgauss/equicorrgauss_3,"(50,200)",susie,susie/equicorrgauss_3_susie_1,susie/equicorrgauss_3_susie_1,NA,coef_mse/equicorrgauss_3_susie_1_coef_mse_1
